osmid,y,x,street_cou,highway,ref
2334060843,30.622925,104.0762343,3,,
2344329063,30.6548505,104.0541164,3,,
2344329070,30.6522866,104.055434,4,,
2344329072,30.6542649,104.053149,3,,
2344329074,30.6515335,104.0575182,3,,
2344329082,30.653896,104.0524483,4,,
2360396882,30.6679497,104.1117769,3,,
2360396949,30.6673188,104.1129675,3,,
2366951323,30.6480291,104.1134308,4,,
2366951325,30.645901,104.1127591,4,,
2366951326,30.6457523,104.1182971,4,,
2366951327,30.653142,104.1151417,4,,
2366953316,30.6439775,104.1167181,4,,
2366953418,30.6548104,104.1173526,3,,
2366958337,30.644307,104.1211057,4,,
2367361536,30.6186513,104.0643637,3,,
2367361538,30.6142858,104.0645239,4,,
2367361540,30.616419,104.0644491,4,,
2372052925,30.6338666,104.0999127,3,,
2374432160,30.5944097,104.1101143,4,,
2374432163,30.5983069,104.1099455,3,,
2374432165,30.5982027,104.1027414,3,,
2393636591,30.6205818,104.1169266,4,,
2398037490,30.682767,104.1144288,3,,
2399471758,30.6398545,104.1036968,3,,
2404125668,30.7209609,103.9826905,4,,
2407611373,30.6520928,103.9944396,4,,
2409746711,30.5930811,104.1275024,1,,
2409746715,30.5939112,104.1285074,3,,
2411169693,30.5934798,104.0650706,3,,
2439237551,30.6298597,104.0955236,3,,
2441160949,30.6330196,104.0339513,3,,
2441172196,30.6753292,104.0043784,4,,
2441172204,30.675876,103.9972179,3,,
2441172212,30.6735693,104.0147406,4,,
2441172213,30.6735914,104.0144259,3,,
2441172237,30.6719151,104.0242075,3,,
2441174420,30.6235916,104.0519881,3,,
2456925088,30.639664,104.103852,3,,
2456925096,30.636639,104.1017682,3,,
2456925106,30.6409507,104.1045628,4,,
2456925108,30.6391148,104.1032098,3,,
2456925113,30.6383024,104.1027786,4,,
2471851981,30.6258827,104.0430557,3,,
2472030042,30.6624457,104.0617127,3,,
2472030043,30.6624425,104.0625261,3,,
2472030044,30.6624527,104.0640754,3,,
2472030045,30.6624706,104.0649106,3,,
2472030046,30.6618274,104.0628568,3,,
2472030047,30.6608763,104.0628827,3,,
2472030048,30.661847,104.063772,3,,
2472030049,30.6608934,104.0638075,3,,
2472036427,30.6639631,104.062719,3,,
2472046174,30.6580274,104.0633002,3,,
2472046178,30.6580308,104.0625608,1,,
2472054564,30.7047077,104.050665,3,,
2472054565,30.7039422,104.0495038,3,,
2472055935,30.6999896,104.05011,1,,
2495738389,30.5967153,104.0578733,5,,
2495738390,30.5966554,104.0482816,5,,
2495738392,30.596681,104.045265,3,,
2500249518,30.6497997,104.0198635,3,,
2500249525,30.6628974,104.0194565,3,,
2500249526,30.662989,104.0192589,3,,
2500249537,30.6897185,104.0343739,3,,
2501738422,30.6076699,104.1224503,4,,
2501740180,30.6077886,104.1277573,4,,
2501740183,30.6100614,104.1304713,4,,
2501743453,30.6060617,104.1244962,4,,
2501743454,30.6064285,104.1295068,3,,
2501743456,30.6087385,104.1326743,4,,
2501745611,30.6087114,104.1427458,4,,
2501745620,30.5965713,104.143078,4,,
